TQ144,Function,Type,Bank
1,IOL_2A,DPIO,3
2,IOL_2B,DPIO,3
3,IOL_3A,DPIO,3
4,IOL_3B,DPIO,3
5,GND,GND,GND
6,VCCIO_3,VCCIO,VCCIO
7,IOL_4A,DPIO,3
8,IOL_4B,DPIO,3
9,IOL_5A,DPIO,3
10,IOL_5B,DPIO,3
11,IOL_8A,DPIO,3
12,IOL_8B,DPIO,3
13,GND,GND,GND
14,GND,GND,GND
15,IOL_10A,DPIO,3
16,IOL_10B,DPIO,3
17,IOL_12A,DPIO,3
18,IOL_12B,DPIO,3
19,IOL_13A,DPIO,3
20,IOL_13B_GBIN7,GBIN,3
21,IOL_14A_GBIN6,GBIN,3
22,IOL_14B,DPIO,3
23,IOL_17A,DPIO,3
24,IOL_17B,DPIO,3
25,IOL_18A,DPIO,3
26,IOL_18B,DPIO,3
27,VCC,VCC,VCC
28,IOL_23A,DPIO,3
29,IOL_23B,DPIO,3
30,VCCIO_3,VCCIO,VCCIO
31,IOL_24A,DPIO,3
32,IOL_24B,DPIO,3
33,IOL_25A,DPIO,3
34,IOL_25B,DPIO,3
35,NC,NC,NC
36,NC,NC,NC
37,IOB_56,PIO,2
38,IOB_57,PIO,2
39,IOB_61,PIO,2
40,VCC,VCC,VCC
41,IOB_63,PIO,2
42,IOB_64,PIO,2
43,IOB_71,PIO,2
44,IOB_72,PIO,2
45,IOB_73,PIO,2
46,VCCIO_2,VCCIO,VCCIO
47,IOB_79,PIO,2
48,IOB_80,PIO,2
49,IOB_81_GBIN5,GBIN,2
50,NC,NC,NC
51,NC,NC,NC
52,IOB_82_GBIN4,GBIN,2
53,GNDPLL0,GNDPLL,GNDPLL
54,VCCPLL0,VCCPLL,VCCPLL
55,IOB_91,PIO,2
56,IOB_94,PIO,2
57,VCCIO_2,VCCIO,VCCIO
58,NC,NC,NC
59,GND,GND,GND
60,IOB_95,PIO,2
61,IOB_96,PIO,2
62,IOB_102,PIO,2
63,IOB_103_CBSEL0,PIO,2
64,IOB_104_CBSEL1,PIO,2
65,CDONE,CONFIG,2
66,CRESET_B,CONFIG,2
67,IOB_105_SDO,SPI,SPI
68,IOB_106_SDI,SPI,SPI
69,GND,GND,GND
70,IOB_107_SCK,SPI,SPI
71,IOB_108_SS,SPI,SPI
72,VCC_SPI,SPI,SPI
73,IOR_109,PIO,1
74,IOR_110,PIO,1
75,IOR_111,PIO,1
76,IOR_112,PIO,1
77,NC,NC,NC
78,IOR_114,PIO,1
79,IOR_115,PIO,1
80,IOR_116,PIO,1
81,IOR_117,PIO,1
82,IOR_118,PIO,1
83,IOR_119,PIO,1
84,IOR_120,PIO,1
85,IOR_128,PIO,1
86,GND,GND,GND
87,IOR_136,PIO,1
88,IOR_137,PIO,1
89,VCCIO_1,VCCIO,VCCIO
90,IOR_138,PIO,1
91,IOR_139,PIO,1
92,VCC,VCC,VCC
93,IOR_140_GBIN3,GBIN,1
94,IOR_141_GBIN2,GBIN,1
95,IOR_144,PIO,1
96,IOR_146,PIO,1
97,IOR_147,PIO,1
98,IOR_148,PIO,1
99,IOR_152,PIO,1
100,VCCIO_1,VCCIO,VCCIO
101,IOR_160,PIO,1
102,IOR_161,PIO,1
103,GND,GND,GND
104,IOR_164,PIO,1
105,IOR_165,PIO,1
106,IOR_166,PIO,1
107,IOR_167,PIO,1
108,VPP_2V5,VPP,VPP
109,VPP_FAST,VPP,VPP
110,IOT_168,PIO,0
111,VCC,VCC,VCC
112,IOT_169,PIO,0
113,IOT_170,PIO,0
114,IOT_171,PIO,0
115,IOT_172,PIO,0
116,IOT_173,PIO,0
117,IOT_174,PIO,0
118,IOT_177,PIO,0
119,IOT_178,PIO,0
120,IOT_179,PIO,0
121,IOT_181,PIO,0
122,IOT_190,PIO,0
123,VCCIO_0,VCCIO,VCCIO
124,IOT_191,PIO,0
125,IOT_192,PIO,0
126,VCCPLL1,VCCPLL,VCCPLL
127,GNDPLL1,GNDPLL,GNDPLL
128,IOT_197_GBIN1,GBIN,0
129,IOT_198_GBIN0,GBIN,0
130,IOT_206,PIO,0
131,VCCIO_0,VCCIO,VCCIO
132,GND,GND,GND
133,NC,NC,NC
134,IOT_212,PIO,0
135,IOT_213,PIO,0
136,IOT_214,PIO,0
137,IOT_215,PIO,0
138,IOT_216,PIO,0
139,IOT_217,PIO,0
140,GND,GND,GND
141,IOT_219,PIO,0
142,IOT_220,PIO,0
143,IOT_221,PIO,0
144,IOT_222,PIO,0
